destination_name;lat;lng;arrival_date;departure_date;default_after_location;display_name;
Berlin;;;30.03.2018;30.03.2018;Trento;Berlin;14
Sydney;;;06.04.2018;19.04.2018;Trento;Sydney;4
Frankfurt;;;25.04.2018;27.04.2018;Osnabrück;Conference;6
Berlin;;;28.04.2018;02.05.2018;Osnabrück;Berlin;1
Hochzeit;;;015.06.2018;18.06.2018;;Hochzeit;
